Time (ms), Ch 0 (volts)
  0.06625,       0.0757
  0.06650,       0.0661
  0.06675,       0.0709
  0.06700,       0.0661
  0.06725,       0.0709
  0.06750,       0.0661
  0.06775,       0.0685
  0.06800,       0.0685
  0.06825,       0.0685
  0.06850,       0.0636
  0.06875,       0.0661
  0.06900,       0.0564
  0.06925,       0.0733
  0.06950,       0.0782
  0.06975,       0.0685
  0.07000,       0.0757
  0.07025,       0.0685
  0.07050,       0.0661
  0.07075,       0.0709
  0.07100,       0.0733
  0.07125,       0.0733
  0.07150,       0.0685
  0.07175,       0.0757
  0.07200,       0.0709
  0.07225,       0.0709
  0.07250,       0.0733
  0.07275,       0.0757
  0.07300,       0.0685
  0.07325,       0.0709
  0.07350,       0.0685
  0.07375,       0.0733
  0.07400,       0.0685
  0.07425,       0.0709
  0.07450,       0.0685
  0.07475,       0.0733
  0.07500,       0.0612
  0.07525,       0.0685
  0.07550,       0.0709
  0.07575,       0.0661
  0.07600,       0.0661
  0.07625,       0.0733
  0.07650,       0.0636
  0.07675,       0.0636
  0.07700,       0.0661
  0.07725,       0.0685
  0.07750,       0.0661
  0.07775,       0.0733
  0.07800,       0.0685
  0.07825,       0.0661
  0.07850,       0.0685
  0.07875,       0.0733
  0.07900,       0.0733
  0.07925,       0.0685
  0.07950,       0.0854
  0.07975,       0.0733
  0.08000,       0.0806
  0.08025,       0.0733
  0.08050,       0.0685
  0.08075,       0.0685
  0.08100,       0.0685
  0.08125,       0.0661
  0.08150,       0.0636
  0.08175,       0.0685
  0.08200,       0.0661
  0.08225,       0.0685
  0.08250,       0.0685
  0.08275,       0.0685
  0.08300,       0.0636
  0.08325,       0.0661
  0.08350,       0.0636
  0.08375,       0.0733
  0.08400,       0.0685
  0.08425,       0.0685
  0.08450,       0.0636
  0.08475,       0.0661
  0.08500,       0.0661
  0.08525,       0.0636
  0.08550,       0.0685
  0.08575,       0.0757
  0.08600,       0.0854
  0.08625,       0.0733
  0.08650,       0.0757
  0.08675,       0.0733
  0.08700,       0.0685
  0.08725,       0.0757
  0.08750,       0.0733
  0.08775,       0.0806
  0.08800,       0.0685
  0.08825,       0.0878
  0.08850,       0.0733
  0.08875,       0.0757
  0.08900,       0.0685
  0.08925,       0.0685
  0.08950,       0.0685
  0.08975,       0.0733
  0.09000,       0.0709
  0.09025,       0.0733
  0.09050,       0.0661
  0.09075,       0.0709
  0.09100,       0.0636
  0.09125,       0.0661
  0.09150,       0.0636
  0.09175,       0.0661
  0.09200,       0.0685
  0.09225,       0.0709
  0.09250,       0.0661
  0.09275,       0.0636
  0.09300,       0.0685
  0.09325,       0.0709
  0.09350,       0.0685
  0.09375,       0.0685
  0.09400,       0.0709
  0.09425,       0.0709
  0.09450,       0.0709
  0.09475,       0.0709
  0.09500,       0.0830
  0.09525,       0.0733
  0.09550,       0.0733
  0.09575,       0.0733
  0.09600,       0.0733
  0.09625,       0.0709
  0.09650,       0.0733
  0.09675,       0.0733
  0.09700,       0.0733
  0.09725,       0.0733
  0.09750,       0.0709
  0.09775,       0.0709
  0.09800,       0.0709
  0.09825,       0.0685
  0.09850,       0.0685
  0.09875,       0.0661
  0.09900,       0.0661
  0.09925,       0.0661
  0.09950,       0.0636
  0.09975,       0.0661
  0.10000,       0.0636
  0.10025,       0.0661
  0.10050,       0.0636
  0.10075,       0.0636
  0.10100,       0.0201
  0.10125,       0.0661
  0.10150,       0.0782
  0.10175,       0.0709
  0.10200,       0.0685
  0.10225,       0.0733
  0.10250,       0.0709
  0.10275,       0.0733
  0.10300,       0.0733
  0.10325,       0.0733
  0.10350,       0.0733
  0.10375,       0.0806
  0.10400,       0.0733
  0.10425,       0.0733
  0.10450,       0.0733
  0.10475,       0.0733
  0.10500,       0.0685
  0.10525,       0.0733
  0.10550,       0.0709
  0.10575,       0.0685
  0.10600,       0.0733
  0.10625,       0.0685
  0.10650,       0.0685
  0.10675,       0.0709
  0.10700,       0.0661
  0.10725,       0.0709
  0.10750,       0.0733
  0.10775,       0.0733
  0.10800,       0.0661
  0.10825,       0.0685
  0.10850,       0.0636
  0.10875,       0.0709
  0.10900,       0.1459
  0.10925,       0.6729
  0.10950,       0.8349
  0.10975,       1.3282
  0.11000,       1.4781
  0.11025,       1.9616
  0.11050,       2.1067
  0.11075,       2.5806
  0.11100,       2.7353
  0.11125,       3.1971
  0.11150,       3.3422
  0.11175,       3.4268
  0.11200,       3.4268
  0.11225,       3.4293
  0.11250,       3.4244
  0.11275,       3.4341
  0.11300,       3.4196
  0.11325,       3.4293
  0.11350,       3.4268
  0.11375,       3.5284
  0.11400,       3.4897
  0.11425,       3.4341
  0.11450,       3.4244
  0.11475,       3.4293
  0.11500,       3.4244
  0.11525,       3.4293
  0.11550,       3.4268
  0.11575,       3.4317
  0.11600,       3.4244
  0.11625,       3.4317
  0.11650,       3.4244
  0.11675,       3.4413
  0.11700,       3.4244
  0.11725,       3.4268
  0.11750,       3.4293
  0.11775,       3.4317
  0.11800,       3.4268
  0.11825,       3.4244
  0.11850,       3.4268
  0.11875,       3.3422
  0.11900,       3.1319
  0.11925,       2.8224
  0.11950,       2.6749
  0.11975,       2.2421
  0.12000,       2.0922
  0.12025,       1.6667
  0.12050,       1.5143
  0.12075,       1.0525
  0.12100,       0.8930
  0.12125,       0.4239
  0.12150,       0.2692
  0.12175,       0.0685
  0.12200,       0.0685
  0.12225,       0.0685
  0.12250,       0.0636
  0.12275,       0.0636
  0.12300,       0.0661
  0.12325,       0.0661
  0.12350,       0.0661
  0.12375,       0.0709
  0.12400,       0.0661
  0.12425,       0.0661
  0.12450,       0.0661
  0.12475,       0.0685
  0.12500,       0.0661
  0.12525,       0.0685
  0.12550,       0.0636
  0.12575,       0.0636
  0.12600,       0.0661
  0.12625,       0.0685
  0.12650,       0.0685
  0.12675,       0.0709
  0.12700,       0.0636
  0.12725,       0.0709
  0.12750,       0.0709
  0.12775,       0.0757
  0.12800,       0.0661
  0.12825,       0.0733
  0.12850,       0.0709
  0.12875,       0.2571
  0.12900,       0.4118
  0.12925,       0.9051
  0.12950,       1.0622
  0.12975,       1.5482
  0.13000,       1.7005
  0.13025,       2.1792
  0.13050,       2.3292
  0.13075,       2.8030
  0.13100,       2.9505
  0.13125,       3.3954
  0.13150,       3.4196
  0.13175,       3.4293
  0.13200,       3.4220
  0.13225,       3.4244
  0.13250,       3.4268
  0.13275,       3.4268
  0.13300,       3.4268
  0.13325,       3.4244
  0.13350,       3.4268
  0.13375,       3.4293
  0.13400,       3.4220
  0.13425,       3.4317
  0.13450,       3.3712
  0.13475,       3.4268
  0.13500,       3.4293
  0.13525,       3.4341
  0.13550,       3.4293
  0.13575,       3.4317
  0.13600,       3.4268
  0.13625,       3.4293
  0.13650,       3.4268
  0.13675,       3.4341
  0.13700,       3.4244
  0.13725,       3.4293
  0.13750,       3.4220
  0.13775,       3.4244
  0.13800,       3.4244
  0.13825,       3.4293
  0.13850,       3.4220
  0.13875,       3.4317
  0.13900,       3.4220
  0.13925,       3.4220
  0.13950,       3.4196
  0.13975,       3.4268
  0.14000,       3.4172
  0.14025,       3.4268
  0.14050,       3.4196
  0.14075,       3.4268
  0.14100,       3.4196
  0.14125,       3.4244
  0.14150,       3.4244
  0.14175,       3.4293
  0.14200,       3.4244
  0.14225,       3.4268
  0.14250,       3.4268
  0.14275,       3.4317
  0.14300,       3.4220
  0.14325,       3.4293
  0.14350,       3.4244
  0.14375,       3.4293
  0.14400,       3.4268
  0.14425,       3.4317
  0.14450,       3.4268
  0.14475,       3.4244
  0.14500,       3.4293
  0.14525,       3.4268
  0.14550,       3.4268
  0.14575,       3.4268
  0.14600,       3.4268
  0.14625,       3.4268
  0.14650,       3.4244
  0.14675,       3.4341
  0.14700,       3.4244
  0.14725,       3.4196
  0.14750,       3.4244
  0.14775,       3.4220
  0.14800,       3.4244
  0.14825,       3.4341
  0.14850,       3.4244
  0.14875,       3.4268
  0.14900,       3.4172
  0.14925,       3.4244
  0.14950,       3.4244
